Waf: Entering directory `/home/zsh/example/build'
Waf: Leaving directory `/home/zsh/example/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.251s)
39.6137 0 19 100 
39.6153 0 8 100 
39.6237 0 19 100 
39.6253 0 8 100 
39.6337 0 19 100 
39.6353 0 8 100 
39.6437 0 19 100 
39.6453 0 8 100 
39.6537 0 19 100 
39.6553 0 8 100 
39.6637 0 19 100 
39.6653 0 8 100 
39.7 0 14 100 
39.7055 0 62 100 
39.708 0 38 100 
39.7155 0 62 100 
39.7171 0 38 100 
39.8015 0 46 100 
39.9015 0 46 100 
39.9951 0 14 100 
39.9967 0 16 100 
39.9984 0 80 100 
40 0 19 100 
40.0002 0 77 100 
40.0015 0 8 100 
40.002 0 78 100 
40.0865 0 16 100 
40.0883 0 14 100 
40.1 0 19 100 
40.1015 0 8 100 
40.1062 0 85 100 
40.1078 0 44 100 
40.1351 0 44 100 
40.1451 0 44 100 
40.1463 0 35 100 
40.1481 0 35 100 
40.1551 0 44 100 
40.1567 0 35 100 
40.1651 0 44 100 
40.1667 0 35 100 
40.1751 0 44 100 
40.1767 0 35 100 
40.1851 0 44 100 
40.1853 0 20 100 
40.1867 0 35 100 
40.187 0 9 100 
40.1951 0 44 100 
40.1967 0 35 100 
40.2 0 19 100 
40.2015 0 8 100 
40.2051 0 44 100 
40.2067 0 35 100 
40.2151 0 44 100 
40.2167 0 35 100 
40.2251 0 44 100 
40.2267 0 35 100 
40.2351 0 44 100 
40.2367 0 35 100 
40.2451 0 44 100 
40.2467 0 35 100 
40.251 0 55 100 
40.251 0 9 100 
40.2535 0 37 100 
40.2551 0 44 100 
40.2567 0 35 100 
40.261 0 55 100 
40.2613 0 37 100 
40.263 0 37 100 
40.2651 0 44 100 
40.2667 0 35 100 
40.271 0 55 100 
40.2725 0 37 100 
40.2751 0 44 100 
40.2767 0 35 100 
40.281 0 55 100 
40.2825 0 37 100 
40.2851 0 44 100 
40.2867 0 35 100 
40.291 0 55 100 
40.2925 0 37 100 
40.2951 0 44 100 
40.2967 0 35 100 
40.3 0 19 100 
40.301 0 55 100 
40.3015 0 8 100 
40.3025 0 37 100 
40.3051 0 44 100 
40.3067 0 35 100 
40.311 0 55 100 
40.3125 0 37 100 
40.3151 0 44 100 
40.3167 0 35 100 
40.321 0 55 100 
40.3225 0 37 100 
40.3251 0 44 100 
40.3267 0 35 100 
40.331 0 55 100 
40.3325 0 37 100 
40.3351 0 44 100 
40.3367 0 35 100 
40.3383 0 14 100 
40.3398 0 16 100 
40.341 0 55 100 
40.3415 0 80 100 
40.3425 0 37 100 
40.3434 0 77 100 
40.3451 0 78 100 
40.3451 0 44 100 
40.3467 0 35 100 
40.351 0 55 100 
40.3525 0 37 100 
40.361 0 55 100 
40.3625 0 37 100 
40.371 0 55 100 
40.3725 0 37 100 
40.381 0 55 100 
40.3825 0 37 100 
40.391 0 55 100 
40.3925 0 37 100 
40.4 0 19 100 
40.401 0 55 100 
40.4025 0 37 100 
40.411 0 55 100 
40.4125 0 37 100 
40.421 0 55 100 
40.4225 0 37 100 
40.431 0 55 100 
40.4325 0 37 100 
40.441 0 55 100 
40.4425 0 37 100 
40.451 0 55 100 
40.4525 0 37 100 
40.461 0 55 100 
40.4625 0 37 100 
40.471 0 55 100 
40.4725 0 37 100 
40.481 0 55 100 
40.4825 0 37 100 
40.491 0 55 100 
40.4925 0 37 100 
40.501 0 55 100 
40.5015 0 55 100 
40.5033 0 37 100 
40.5051 0 37 100 
40.511 0 55 100 
40.5125 0 37 100 
40.521 0 55 100 
40.5225 0 37 100 
40.531 0 55 100 
40.5325 0 37 100 
40.541 0 55 100 
40.5425 0 37 100 
40.551 0 55 100 
40.5525 0 37 100 
40.561 0 55 100 
40.5625 0 37 100 
40.571 0 55 100 
40.5725 0 37 100 
40.581 0 55 100 
40.5825 0 37 100 
40.591 0 55 100 
40.5925 0 37 100 
40.601 0 55 100 
40.6015 0 55 100 
40.6033 0 37 100 
40.6052 0 37 100 
40.611 0 55 100 
40.6125 0 37 100 
40.621 0 55 100 
40.6225 0 37 100 
40.631 0 55 100 
40.6325 0 37 100 
40.641 0 55 100 
40.6425 0 37 100 
40.651 0 55 100 
40.6525 0 37 100 
40.661 0 55 100 
40.6625 0 37 100 
40.671 0 55 100 
40.6725 0 37 100 
40.681 0 55 100 
40.6825 0 37 100 
40.691 0 55 100 
40.6925 0 37 100 
40.701 0 55 100 
40.7015 0 55 100 
40.7033 0 37 100 
40.7051 0 37 100 
40.711 0 55 100 
40.7125 0 37 100 
40.721 0 55 100 
40.7225 0 37 100 
40.731 0 55 100 
40.7325 0 37 100 
40.741 0 55 100 
40.7425 0 37 100 
40.751 0 55 100 
40.7525 0 37 100 
40.761 0 55 100 
40.7625 0 37 100 
40.771 0 55 100 
40.7725 0 37 100 
40.781 0 55 100 
40.7825 0 37 100 
40.791 0 55 100 
40.7925 0 37 100 
40.801 0 55 100 
40.8015 0 55 100 
40.8033 0 37 100 
40.8051 0 37 100 
40.811 0 55 100 
40.8125 0 37 100 
40.821 0 55 100 
40.8225 0 37 100 
40.831 0 55 100 
40.8325 0 37 100 
40.841 0 55 100 
40.8425 0 37 100 
40.851 0 55 100 
40.8525 0 37 100 
40.861 0 55 100 
40.8625 0 37 100 
40.871 0 55 100 
40.8725 0 37 100 
40.881 0 55 100 
40.8825 0 37 100 
40.891 0 55 100 
40.901 0 55 100 
40.9042 0 45 100 
40.9085 0 55 100 
40.9085 0 55 100 
40.9085 0 55 100 
40.911 0 55 100 
40.9118 0 55 100 
40.9185 0 55 100 
40.9185 0 55 100 
40.9185 0 55 100 
41 0 16 100 
41.1 0 85 100 
41.2 0 91 100 
41.3 0 14 100 
41.3424 0 19 100 
41.344 0 8 100 
41.4015 0 46 100 
41.5 0 20 100 
41.597 0 16 100 
41.5988 0 14 100 
41.6 0 20 100 
41.7 0 20 100 
41.8 0 20 100 
41.8065 0 85 100 
41.8081 0 44 100 
41.8374 0 20 100 
41.839 0 55 100 
41.8474 0 20 100 
41.8489 0 55 100 
41.8574 0 20 100 
41.8589 0 55 100 
41.8674 0 20 100 
41.8689 0 55 100 
41.9015 0 55 100 
41.9296 0 55 100 
41.9296 0 45 100 
41.9312 0 37 100 
41.9343 0 37 100 
41.9396 0 55 100 
41.9411 0 37 100 
41.9496 0 55 100 
41.9511 0 37 100 
41.9596 0 55 100 
41.9611 0 37 100 
41.9696 0 55 100 
41.9711 0 37 100 
41.9796 0 55 100 
41.9811 0 37 100 
41.9896 0 55 100 
41.9911 0 37 100 
41.9996 0 55 100 
